episode,reward
0,-0.036
100,-0.011
200,-0.006
300,0.005
400,-0.011
500,0.027
600,0.042
700,0.0
800,0.006
900,0.035
1000,0.005
1100,-0.026
1200,0.009
1300,0.019
1400,-0.013
1500,0.033
1600,-0.028
1700,-0.029
1800,0.014
1900,0.012
2000,0.021
2100,0.041
2200,0.014
2300,-0.001
2400,0.052
2500,0.013
2600,-0.025
2700,0.034
2800,0.055
2900,0.039
3000,0.033
3100,0.03
3200,0.012
3300,0.065
3400,0.019
3500,0.013
3600,0.031
3700,0.021
3800,0.009
3900,0.028
4000,0.027
4100,0.001
4200,0.025
4300,0.039
4400,0.029
4500,0.03
4600,0.068
4700,0.035
4800,0.034
4900,0.015
